-0.73671602 2.76733658 AA BB
-1.83947190 5.70194282 AA BB
-0.46963370 4.89393264 AA BB
0.85105460 6.37610477 AA BB
-1.69043368 8.11399122 AA BB
-1.47995127 4.32866212 AA BB
0.21026063 4.32073489 AA BB
0.19038088 4.26631298 AA BB
-0.29759084 4.07349852 AA BB
-0.46843672 7.01048905 AA BB
0.93804369 3.78855823 Aa Bb
-1.46223800 5.08756968 Aa Bb
-0.01338604 -0.01494702 Aa Bb
0.13704332 4.53625220 Aa Bb
0.59214151 3.75293124 Aa Bb
-0.27658821 5.78701933 Aa Bb
0.05527139 5.99460464 Aa Bb
1.00077756 5.26838121 Aa Bb
0.62871877 6.98314827 Aa Bb
1.18925876 8.61457227 Aa Bb
-0.40389888 3.36446128 aa bb
-1.43420595 6.50801614 aa bb
1.79086285 5.39616828 aa bb
0.15886243 3.98010396 aa bb
0.57746024 4.93605364 aa bb
-1.11158987 6.40760662 aa bb
1.93484117 3.33698750 aa bb
0.10803302 4.56442931 aa bb
0.56648591 4.48502267 aa bb
0.03616814 5.77160936 aa bb
